File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000SUA	fastq	reads	ENCSR000EKI	DNase-seq	EFO:0004905	induced pluripotent stem cell	induced pluripotent stem cell line	unknown	male	Homo sapiens							DNA		see document	see document		2012-03-28	ENCODE		see document			1	1	36		single-ended				1084079650	Gregory Crawford, Duke	3468dacc87659c86c8bd8ef8b6daf106	https://www.encodeproject.org/files/ENCFF000SUA/@@download/ENCFF000SUA.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SUH	fastq	reads	ENCSR000EKI	DNase-seq	EFO:0004905	induced pluripotent stem cell	induced pluripotent stem cell line	unknown	male	Homo sapiens							DNA		see document	see document		2012-03-28	ENCODE		see document			2	1	50		single-ended				6271131445	Gregory Crawford, Duke	c9105e685f71bb9441256d12aeb2d704	https://www.encodeproject.org/files/ENCFF000SUH/@@download/ENCFF000SUH.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SIH	fastq	reads	ENCSR000EIT	DNase-seq	CL:0002620	skin fibroblast	primary cell	child	male	Homo sapiens	doxycycline						DNA		see document	see document		2012-08-28	ENCODE		see document		10 year	1	1	50		single-ended				7161860103	Gregory Crawford, Duke	eff59dde4fa2ad05ded35c5b861064f5	https://www.encodeproject.org/files/ENCFF000SIH/@@download/ENCFF000SIH.fastq.gz				released		biological replicates with identical biosample		
ENCFF000SIM	fastq	reads	ENCSR000EIT	DNase-seq	CL:0002620	skin fibroblast	primary cell	child	male	Homo sapiens	doxycycline						DNA		see document	see document		2012-08-28	ENCODE		see document		10 year	2	1	50		single-ended				7165867413	Gregory Crawford, Duke	41c6230dfd67855385583d61c230c55a	https://www.encodeproject.org/files/ENCFF000SIM/@@download/ENCFF000SIM.fastq.gz				released		biological replicates with identical biosample		
ENCFF000SWA	fastq	reads	ENCSR000EKQ	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens			G1				DNA		see document	see document		2012-08-28	ENCODE		see document		53 year	2	1	50		single-ended				7061301286	Gregory Crawford, Duke	780431663723e65b8a5c46cd740da289	https://www.encodeproject.org/files/ENCFF000SWA/@@download/ENCFF000SWA.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SWB	fastq	reads	ENCSR000EKQ	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens			G1				DNA		see document	see document		2012-08-28	ENCODE		see document		53 year	1	1	100		single-ended				9312318895	Gregory Crawford, Duke	24b9c6fc6400d5ae36f074681b5ea72d	https://www.encodeproject.org/files/ENCFF000SWB/@@download/ENCFF000SWB.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SWD	fastq	reads	ENCSR000EKQ	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens			G1				DNA		see document	see document		2012-08-28	ENCODE		see document		53 year	3	1	50		single-ended				6647586162	Gregory Crawford, Duke	a40b8244d9fda2a62a60263e2e3d8d37	https://www.encodeproject.org/files/ENCFF000SWD/@@download/ENCFF000SWD.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SUI	fastq	reads	ENCSR000EKJ	DNase-seq	EFO:0004905	induced pluripotent stem cell	induced pluripotent stem cell line	adult	male	Homo sapiens							DNA		see document	see document		2012-03-28	ENCODE		see document		71 year	1	1	36		single-ended				1612852914	Gregory Crawford, Duke	197f113eee792c44f578f1b6c4f18d5b	https://www.encodeproject.org/files/ENCFF000SUI/@@download/ENCFF000SUI.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SUO	fastq	reads	ENCSR000EKJ	DNase-seq	EFO:0004905	induced pluripotent stem cell	induced pluripotent stem cell line	adult	male	Homo sapiens							DNA		see document	see document		2012-03-28	ENCODE		see document		71 year	3	1	50		single-ended				5699702903	Gregory Crawford, Duke	d2d768c7d72344e4c745d314ab3526f9	https://www.encodeproject.org/files/ENCFF000SUO/@@download/ENCFF000SUO.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF000SUQ	fastq	reads	ENCSR000EKJ	DNase-seq	EFO:0004905	induced pluripotent stem cell	induced pluripotent stem cell line	adult	male	Homo sapiens							DNA		see document	see document		2012-03-28	ENCODE		see document		71 year	2	1	50		single-ended				5887450486	Gregory Crawford, Duke	9c0a5805666ba83714278ddea378da85	https://www.encodeproject.org/files/ENCFF000SUQ/@@download/ENCFF000SUQ.fastq.gz				released	mixed read lengths	biological replicates with identical biosample		
ENCFF001ECW	fastq	reads	ENCSR000EPQ	DNase-seq	CL:0000312	keratinocyte	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE		see document			1	1	36		single-ended				2125606288	John Stamatoyannopoulos, UW	2c876e508d29ea1e9d7f044934eed6f4	https://www.encodeproject.org/files/ENCFF001ECW/@@download/ENCFF001ECW.fastq.gz				released				
ENCFF001ECX	fastq	reads	ENCSR000EPQ	DNase-seq	CL:0000312	keratinocyte	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE		see document			2	1	36		single-ended				2119724575	John Stamatoyannopoulos, UW	afe4cdd1282330dfe8f3062da8d7089f	https://www.encodeproject.org/files/ENCFF001ECX/@@download/ENCFF001ECX.fastq.gz		Illumina Genome Analyzer IIx		released				
